ClientID,Completed Connections,Data Received
"('127.0.0.1', 59734)",10,680
"('127.0.0.1', 60842)",100,6800
"('127.0.0.1', 60350)",100,6800
"('127.0.0.1', 60282)",100,6800
"('127.0.0.1', 59984)",100,6800
"('127.0.0.1', 60120)",100,6800
"('127.0.0.1', 59958)",100,6800
"('127.0.0.1', 59680)",10,680
"('127.0.0.1', 32880)",100,6800
"('127.0.0.1', 60644)",100,6800
"('127.0.0.1', 59720)",10,680
"('127.0.0.1', 32984)",100,6800
"('127.0.0.1', 59568)",10,680
"('127.0.0.1', 60446)",100,6800
"('127.0.0.1', 59360)",10,680
"('127.0.0.1', 60622)",100,6800
"('127.0.0.1', 32946)",100,6800
"('127.0.0.1', 60802)",100,6800
"('127.0.0.1', 60476)",100,6800
"('127.0.0.1', 32936)",100,6800
"('127.0.0.1', 60360)",100,6800
"('127.0.0.1', 59996)",100,6800
"('127.0.0.1', 60498)",100,6800
"('127.0.0.1', 60466)",100,6800
"('127.0.0.1', 60460)",100,6800
"('127.0.0.1', 60116)",100,6800
"('127.0.0.1', 59594)",10,680
"('127.0.0.1', 60780)",100,6800
"('127.0.0.1', 32974)",100,6800
"('127.0.0.1', 60736)",100,6800
"('127.0.0.1', 60674)",100,6800
"('127.0.0.1', 60534)",100,6800
"('127.0.0.1', 60550)",100,6800
"('127.0.0.1', 59764)",100,6800
"('127.0.0.1', 32928)",100,6800
"('127.0.0.1', 59994)",100,6800
"('127.0.0.1', 60170)",100,6800
"('127.0.0.1', 59982)",100,6800
"('127.0.0.1', 59896)",100,6800
"('127.0.0.1', 59710)",10,680
"('127.0.0.1', 33010)",100,6800
"('127.0.0.1', 60672)",100,6800
"('127.0.0.1', 60386)",100,6800
"('127.0.0.1', 59494)",10,680
"('127.0.0.1', 60030)",100,6800
"('127.0.0.1', 59706)",10,680
"('127.0.0.1', 32986)",100,6800
"('127.0.0.1', 33052)",100,6800
"('127.0.0.1', 60152)",100,6800
"('127.0.0.1', 60062)",100,6800
"('127.0.0.1', 60532)",100,6800
"('127.0.0.1', 60042)",100,6800
"('127.0.0.1', 59770)",100,6800
"('127.0.0.1', 59688)",10,680
"('127.0.0.1', 32902)",100,6800
"('127.0.0.1', 60070)",100,6800
"('127.0.0.1', 60712)",100,6800
"('127.0.0.1', 60368)",100,6800
"('127.0.0.1', 59676)",10,680
"('127.0.0.1', 60698)",100,6800
"('127.0.0.1', 59604)",10,680
"('127.0.0.1', 60680)",100,6800
"('127.0.0.1', 60206)",100,6800
"('127.0.0.1', 60600)",100,6800
"('127.0.0.1', 59878)",100,6800
"('127.0.0.1', 60316)",100,6800
"('127.0.0.1', 59660)",10,680
"('127.0.0.1', 32908)",100,6800
"('127.0.0.1', 59610)",10,680
"('127.0.0.1', 60218)",100,6800
"('127.0.0.1', 59616)",10,680
"('127.0.0.1', 60662)",100,6800
"('127.0.0.1', 60092)",100,6800
"('127.0.0.1', 60578)",100,6800
"('127.0.0.1', 32884)",100,6800
"('127.0.0.1', 60474)",100,6800
"('127.0.0.1', 32916)",100,6800
"('127.0.0.1', 33046)",100,6800
"('127.0.0.1', 60538)",100,6800
"('127.0.0.1', 32920)",100,6800
"('127.0.0.1', 60060)",100,6800
"('127.0.0.1', 59634)",10,680
"('127.0.0.1', 60226)",100,6800
"('127.0.0.1', 60298)",100,6800
"('127.0.0.1', 32906)",100,6800
"('127.0.0.1', 60204)",100,6800
"('127.0.0.1', 32900)",100,6800
"('127.0.0.1', 60542)",100,6800
"('127.0.0.1', 60490)",100,6800
"('127.0.0.1', 32898)",100,6800
"('127.0.0.1', 59820)",100,6800
"('127.0.0.1', 60806)",100,6800
"('127.0.0.1', 59956)",100,6800
"('127.0.0.1', 60604)",100,6800
"('127.0.0.1', 59924)",100,6800
"('127.0.0.1', 60692)",100,6800
"('127.0.0.1', 32944)",100,6800
"('127.0.0.1', 60180)",100,6800
"('127.0.0.1', 59638)",10,680
"('127.0.0.1', 60016)",100,6800
